["port_00","LEFT"]
["port_01","RIGHT"]
["port_10","LEFT"]
["port_11","RIGHT"]
("port_00","mode 1",1,"port_00",1,"transmission")
(21, 3)
("port_01","mode 1",1,"port_01",1,"transmission")
(21, 3)
1.8737028624999997e+14 2.1050326463646830e-02 -2.9099301776032793e+00
1.8799485387083331e+14 3.0315691087970106e-02 -3.0441504223440101e+00
1.8861942149166662e+14 3.2410155579638604e-02 -2.9808827099188320e+00
1.8924398911249997e+14 3.3539457859282959e-02 -2.6398499209442425e+00
1.8986855673333331e+14 2.3748376603288341e-02 -2.6926623201951103e+00
1.9049312435416662e+14 1.6548844361961135e-02 -2.9800246696250730e+00
1.9111769197499997e+14 2.9616987998123498e-02 -3.1541796051109627e+00
1.9174225959583331e+14 3.1708778611838018e-02 -2.8573166591806549e+00
1.9236682721666666e+14 2.4875487540504702e-02 -2.5772032690458579e+00
1.9299139483749997e+14 1.4176372386763208e-02 -3.0788690690733969e+00
1.9361596245833331e+14 2.7465848985776916e-02 -3.2857617995591135e+00
1.9424053007916666e+14 3.2978691237597023e-02 -2.8831104229873867e+00
1.9486509769999997e+14 2.5300925459779872e-02 -2.6234124529522949e+00
1.9548966532083331e+14 1.0694258591383975e-02 -2.6761769959246386e+00
1.9611423294166666e+14 2.0737357775170055e-02 -3.3487850531205288e+00
1.9673880056250000e+14 2.6532753754102849e-02 -3.4121824596562895e+00
1.9736336818333331e+14 3.0409175279371124e-02 -3.1329265546581526e+00
1.9798793580416666e+14 3.5382577224589144e-02 -2.9143667599430327e+00
1.9861250342500000e+14 2.6729049248317222e-02 -2.6407765643358752e+00
1.9923707104583331e+14 1.9062010861713462e-02 -2.4608214333510450e+00
1.9986163866666666e+14 1.8715078558852308e-02 -3.3713544283296697e+00
("port_01","mode 1",1,"port_10",1,"transmission")
(21, 3)
1.8737028624999997e+14 7.8728569381078006e-01 -1.3963450780322002e+00
1.8799485387083331e+14 7.7608410569085251e-01 1.0967344907438445e+00
1.8861942149166662e+14 7.6488484236337229e-01 3.5893863645335014e+00
1.8924398911249997e+14 7.5363135563663852e-01 6.0813805919948845e+00
1.8986855673333331e+14 7.4230852870092956e-01 8.5732985630914378e+00
1.9049312435416662e+14 7.3074050269536917e-01 1.1064929681304729e+01
1.9111769197499997e+14 7.1874911991429968e-01 1.3556421266037431e+01
1.9174225959583331e+14 7.0714098217082533e-01 1.6047066224750285e+01
1.9236682721666666e+14 6.9597718205030479e-01 1.8537579599515219e+01
1.9299139483749997e+14 6.8486176361736295e-01 2.1028119258294691e+01
1.9361596245833331e+14 6.7362624987612141e-01 2.3517491293091290e+01
1.9424053007916666e+14 6.6293414544172957e-01 2.6005221446779725e+01
1.9486509769999997e+14 6.5247314009136170e-01 2.8492326542211543e+01
